nickname	Last char	First char	len
my babbeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	e	m	49
babbeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	e	b	46
my sprinkle on my ice cream cone	e	m	32
"my sweet, sweet cheetah kitten"	n	m	30
cottage cheese chicken breast	t	c	29
my little sweet baby kangaroo	o	m	29
sprinkle on my ice cream cone	e	s	29
My sweeeeeet ray of sunshine	e	M	28
my biggest cinnamon pretzel	l	m	27
"sweet, sweet cheetah kitten"	n	s	27
little sweet baby kangaroo	o	l	26
my sweet sweet cute angel	l	m	25
sweeeeeet ray of sunshine	e	s	25
my baggy of gummy fruits	s	m	24
my piece of citrus fruit	t	m	24
my sweet sweet honey bun	n	m	24
my dollop of sour cream	m	m	23
my poor sweet nice girl	l	m	23
my sweet nice cute girl	l	m	23
my sweet apple crumble	e	m	22
sweet sweet cute angel	l	s	22
baggy of gummy fruits	s	b	21
my good favorite girl	l	m	21
my sweet nice boobela	a	m	21
"my sweet, lovely girl"	l	m	21
piece of citrus fruit	t	p	21
sweet sweet honey bun	n	s	21
dollop of sour cream	m	d	20
my lil princess frog	g	m	20
my little kitten cat	t	m	20
MY LITTLE SMURF LADY	Y	M	20
my string cheese man	n	m	20
my sweet lovely girl	l	m	20
poor sweet nice girl	l	p	20
sweet nice cute girl	l	s	20
my cute nasty woman	n	m	19
my fat little roast	t	m	19
my formidable woman	n	m	19
my good sweet woman	n	m	19
my sweet apple tart	t	m	19
sweet apple crumble	e	s	19
good favorite girl	l	g	18
my cranberry sauce	e	m	18
my cute sweet nice	e	m	18
my favorite person	n	m	18
my god damned babe	e	m	18
my god damned wife	e	m	18
my juicy tangerine	e	m	18
my little hedgehog	g	m	18
my POOKIE PRINCESS	S	m	18
my poor baby sweet	t	m	18
my poor sweet babe	e	m	18
my poor sweet baby	y	m	18
my sweet nice cute	e	m	18
my sweet pineapple	e	m	18
my sweetie pumpkin	n	m	18
schmoogle mcnoodle	e	s	18
sweet nice boobela	a	s	18
"sweet, lovely girl"	l	s	18
lil princess frog	g	l	17
little kitten cat	t	l	17
LITTLE SMURF LADY	Y	L	17
my baaaaabie cake	e	m	17
my big sweet bird	d	m	17
my fat fat poodle	e	m	17
